image_path,navigation_command,command_name,steering_angle,angle_bin,camera_name,source,original_image_path,gps_x,gps_y,gps_z,yaw,speed_kmh,timestamp,session_id,frame_id
images/000000_left_left_soft_center.jpg,3,LEFT,-0.08,left_soft,center,cil_dataset_estratificado,images/session_20260622_204015_0007337_center.jpg,-48.396483,54.925763,0.316058,17.48715,20.0,2026_06_22_20_46_24_017705,session_20260622_204015,7337
images/000001_follow_lane_right_medium_center.jpg,2,FOLLOW_LANE,0.08,right_medium,center,cil_dataset_estratificado,images/session_20260622_205201_0000897_center.jpg,-39.528065,-3.030206,0.316058,-4.489984,20.0,2026_06_22_20_52_49_298631,session_20260622_205201,897
images/000002_follow_lane_left_soft_center.jpg,2,FOLLOW_LANE,-0.08,left_soft,center,cil_dataset_estratificado,images/session_20260622_193333_0015387_center.jpg,-5.394502,240.538078,0.315883,24.11973,20.0,2026_06_22_19_46_22_992403,session_20260622_193333,15387
images/000003_follow_lane_left_medium_center.jpg,2,FOLLOW_LANE,-0.18,left_medium,center,cil_dataset_estratificado,images/session_20260622_193333_0016148_center.jpg,-202.272764,233.214261,0.316516,23.858392,20.0,2026_06_22_19_47_00_492340,session_20260622_193333,16148
images/000004_follow_lane_right_super_extreme_center.jpg,2,FOLLOW_LANE,0.42,right_super_extreme,center,cil_dataset_estratificado,images/session_20260622_203419_0000193_center.jpg,-34.066953,-20.789599,0.315602,-1.581795,20.0,2026_06_22_20_34_31_139303,session_20260622_203419,193
images/000005_right_right_extreme_center.jpg,4,RIGHT,0.26,right_extreme,center,cil_dataset_estratificado,images/session_20260622_193333_0032586_center.jpg,113.876448,81.207611,0.316235,27.630451,20.0,2026_06_22_20_00_41_426198,session_20260622_193333,32586
images/000006_left_left_soft_center.jpg,3,LEFT,-0.06,left_soft,center,cil_dataset_estratificado,images/session_20260622_204015_0000486_center.jpg,40.898163,-34.841068,0.315709,-1.161266,20.0,2026_06_22_20_40_42_095801,session_20260622_204015,486
images/000007_follow_lane_left_strong_center.jpg,2,FOLLOW_LANE,-0.22,left_strong,center,cil_dataset_estratificado,images/session_20260622_193333_0015364_center.jpg,0.134891,242.839281,0.316172,23.749389,20.0,2026_06_22_19_46_21_855378,session_20260622_193333,15364
images/000008_follow_lane_left_medium_center.jpg,2,FOLLOW_LANE,-0.12,left_medium,center,cil_dataset_estratificado,images/session_20260622_193333_0039637_center.jpg,-23.396438,49.621487,0.316093,17.171711,20.0,2026_06_22_20_06_32_778282,session_20260622_193333,39637
images/000009_follow_lane_right_strong_center.jpg,2,FOLLOW_LANE,0.16,right_strong,center,cil_dataset_estratificado,images/session_20260622_193333_0028947_center.jpg,78.494102,220.916182,0.316115,26.233555,20.0,2026_06_22_19_57_39_720079,session_20260622_193333,28947
images/000010_follow_lane_right_extreme_center.jpg,2,FOLLOW_LANE,0.26,right_extreme,center,cil_dataset_estratificado,images/session_20260622_205309_0001857_center.jpg,-26.452609,-37.358907,0.316859,-9.851301,20.0,2026_06_22_20_54_44_636854,session_20260622_205309,1857
images/000011_straight_almost_straight_center.jpg,5,STRAIGHT,0.0,almost_straight,center,cil_dataset_estratificado,images/session_20260622_193333_0004517_center.jpg,-48.689457,77.042523,0.316043,6.276051,20.0,2026_06_22_19_37_19_990557,session_20260622_193333,4517
images/000012_follow_lane_right_medium_center.jpg,2,FOLLOW_LANE,0.08,right_medium,center,cil_dataset_estratificado,images/session_20260622_205201_0000801_center.jpg,-30.55176,-26.866511,0.315949,-4.126434,20.0,2026_06_22_20_52_44_540696,session_20260622_205201,801
images/000013_right_almost_straight_center.jpg,4,RIGHT,0.0,almost_straight,center,cil_dataset_estratificado,images/session_20260622_193333_0037970_center.jpg,102.201626,117.86793,0.316043,18.83966,20.0,2026_06_22_20_05_09_875321,session_20260622_193333,37970
images/000014_follow_lane_almost_straight_left_center.jpg,2,FOLLOW_LANE,-0.02,almost_straight_left,center,cil_dataset_estratificado,images/session_20260622_204015_0010580_center.jpg,44.796851,24.843533,0.316077,12.168903,20.0,2026_06_22_20_49_06_186753,session_20260622_204015,10580
images/000015_follow_lane_almost_straight_left_center.jpg,2,FOLLOW_LANE,-0.02,almost_straight_left,center,cil_dataset_estratificado,images/session_20260622_193333_0010590_center.jpg,126.508454,-180.697935,0.316033,14.76009,20.0,2026_06_22_19_42_23_468438,session_20260622_193333,10590
images/000016_left_left_medium_center.jpg,3,LEFT,-0.14,left_medium,center,cil_dataset_estratificado,images/session_20260622_203501_0000509_center.jpg,113.051162,98.574896,0.316069,4.813003,20.0,2026_06_22_20_38_10_634600,session_20260622_203501,509
images/000017_left_almost_straight_center.jpg,3,LEFT,0.0,almost_straight,center,cil_dataset_estratificado,images/session_20260622_193333_0043237_center.jpg,41.843259,-43.869785,0.316372,29.478791,20.0,2026_06_22_20_09_32_570887,session_20260622_193333,43237
images/000018_follow_lane_left_medium_center.jpg,2,FOLLOW_LANE,-0.12,left_medium,center,cil_dataset_estratificado,images/session_20260622_193333_0031756_center.jpg,34.230477,-97.967896,0.316051,27.506637,20.0,2026_06_22_19_59_59_797575,session_20260622_193333,31756
